STATE,year,total_damage,event_count,home_value,disaster_count,population,housing_units,exposure,damage_per_capita,risk_score,norm_damage,norm_events,norm_fema,norm_exposure,risk_score_norm,next_risk
IOWA,2021,20108400.0,159,153619.29945077846,0.0,3190369.0,1412789.0,217031656451.76584,6.302844592584745,43416385522.153175,0.0010830046032542888,0.1806818181818182,0.0,0.024505829622107178,0.04392131436429751,0.032740441404257546
IOWA,2022,224925500.0,69,171346.92008520354,25.0,3190369.0,1412789.0,242077043880.25464,70.5014059502208,48527871542.35094,0.012114109123016874,0.07840909090909091,0.04012841091492777,0.027333794939132787,0.032740441404257546,0.03869155198485872
IOWA,2023,2435300.0,128,176036.82427593583,7.0,3190369.0,1412789.0,248702888931.9751,0.7633286306380234,49741795462.69502,0.00013116116201712565,0.14545454545454545,0.011235955056179775,0.028081943078416008,0.03869155198485872,0.020656368073697775
IOWA,2025,56000.0,48,190233.9983062301,4.0,3190369.0,1412789.0,268760500233.06052,0.01755282852861221,53752128056.61211,3.016065812408753e-06,0.05454545454545454,0.006420545746388443,0.03034672054547686,0.020656368073697775,
KANSAS,2015,8151600.0,232,104191.4782983161,44.0,2937880.0,1275689.0,132915922758.90056,2.774653832014922,26587260402.580112,0.00043903146565055695,0.2636363636363636,0.07062600321027288,0.015008017772368954,0.06446789096627092,0.054242717191300416
KANSAS,2016,64937100.0,204,90526.45263007851,16.0,2937880.0,1275689.0,115483599829.21222,22.103387476683867,23129188558.242447,0.0034974029869101505,0.2318181818181818,0.025682182985553772,0.013039671114482038,0.054242717191300416,0.042843334315722
KANSAS,2017,8044200.0,128,91368.94465649858,60.0,2937880.0,1275689.0,116558357639.90402,2.738096858959522,23315693659.580803,0.0004332470822889016,0.14545454545454545,0.09630818619582665,0.013161025907715602,0.042843334315722,0.038465546991122396
KANSAS,2018,16515200.0,144,94841.64233912474,8.0,2937880.0,1275689.0,120988439873.9557,5.621468541941808,24205945604.39114,0.0008894808947338042,0.16363636363636364,0.012841091492776886,0.013661242522261518,0.038465546991122396,0.07734018526989055
KANSAS,2019,28874800.0,236,99546.11211943238,117.0,2937880.0,1275689.0,126989880223.52657,9.828447724209294,25412413503.605316,0.0015551481628596475,0.2681818181818182,0.18780096308186195,0.014338886867322804,0.07734018526989055,0.051260507115508
KANSAS,2020,225700.0,40,110269.57094260059,233.0,2937880.0,1275689.0,140669678686.19522,0.07682410445627459,28134048618.539043,1.2155822390368849e-05,0.045454545454545456,0.3739967897271268,0.015883522409766936,0.051260507115508,0.02354936712239814
KANSAS,2021,2653500.0,80,122889.14247807839,0.0,2937880.0,1275689.0,156768327278.71735,0.9032023091480932,31354992221.74347,0.00014291304702190402,0.09090909090909091,0.0,0.017701279072570644,0.02354936712239814,0.04127027805623347
KANSAS,2022,51533800.0,96,138438.9903175555,77.0,2937880.0,1275689.0,176605097119.21204,17.541152123299796,35346786350.74241,0.0027755237922055392,0.10909090909090909,0.12359550561797752,0.019941120531238928,0.04127027805623347,0.025130502583523784
KANSAS,2023,145230.0,68,142122.90059653582,22.0,2937880.0,1275689.0,181304620939.09418,0.049433605184691004,36260996818.61884,7.821843534573628e-06,0.07727272727272727,0.03531300160513644,0.020471760770169514,0.025130502583523784,0.03140276770229996
KANSAS,2025,5922000.0,60,155599.65992854515,68.0,2937880.0,1275689.0,198496774574.58585,2.0157392405407983,39702315933.71717,0.0003189489596622256,0.06818181818181818,0.10914927768860354,0.02241298904403694,0.03140276770229996,
KENTUCKY,2015,3246500.0,331,102748.12314061358,163.0,4505836.0,1994323.0,204912945186.1579,0.720510023001281,40984212369.73158,0.00017485102964258958,0.37613636363636366,0.26163723916532905,0.0231374620836117,0.1084021756807462,0.036615874592996915
KENTUCKY,2016,6275840.0,112,103814.60262542215,25.0,4505836.0,1994323.0,207039849751.73978,1.3928247721399536,41411107895.24796,0.00033800618693120263,0.12727272727272726,0.04012841091492777,0.023377618573953998,0.036615874592996915,0.024918875689947884
KENTUCKY,2017,7090000.0,77,107557.4000443585,0.0,4505836.0,1994323.0,214504196728.66516,1.5735148815891213,42904384361.13303,0.0003818554751781796,0.0875,0.0,0.024220444999588718,0.024918875689947884,0.09296538352336517
KENTUCKY,2018,18898000.0,333,114381.80138742914,57.0,4505836.0,1994323.0,228114257288.38184,4.194116252788605,45632300529.97637,0.0010178144950517966,0.3784090909090909,0.09149277688603531,0.0257572061830758,0.09296538352336517,0.0791642483468288
KENTUCKY,2019,8314100.0,269,119270.75072742149,61.0,4505836.0,1994323.0,237864401402.9634,1.8451847781410597,47577037390.49268,0.00044778344233835024,0.30568181818181817,0.09791332263242375,0.026858130234291476,0.0791642483468288,0.08858528642804711
KENTUCKY,2020,21318100.0,161,128456.22381108064,267.0,4505836.0,1994323.0,256183201639.58575,4.731219689309597,51247299436.817154,0.0011481570106341257,0.18295454545454545,0.42857142857142855,0.028926572252471684,0.08858528642804711,0.08650010341538096
KENTUCKY,2021,2273000.0,242,147171.62999772286,134.0,4505836.0,1994323.0,293507766651.94867,0.504456886579982,58702689892.18974,0.00012241995699294812,0.275,0.21508828250401285,0.03314102394060829,0.08650010341538096,0.0469907972143801
KENTUCKY,2022,892000.0,134,166086.0149405423,33.0,4505836.0,1994323.0,331229159574.26715,0.19796548298695293,66246277944.95343,4.8041619726225134e-05,0.15227272727272728,0.052969502407704656,0.03740028290391228,0.0469907972143801,0.048470180581982256
KENTUCKY,2023,3303300.0,84,172473.64281724824,110.0,4505836.0,1994323.0,343968152764.22296,0.7331158968058313,68795282230.64459,0.0001779101821094613,0.09545454545454546,0.17656500802568217,0.03883868871887053,0.048470180581982256,0.1289768976782883
KENTUCKY,2025,23224050.0,199,189233.185645686,439.0,4505836.0,1994323.0,377392094496.4614,5.154215555115632,75490031007.99228,0.0012508082719762767,0.22613636363636364,0.7046548956661316,0.04261270691870632,0.1289768976782883,
LOUISIANA,2015,16553000.0,47,157194.029175251,7.0,4657757.0,2073200.0,325894661286.1304,3.5538565021747592,65187208767.32607,0.0008915167391571801,0.053409090909090906,0.011235955056179775,0.036797945400223936,0.023201404003166212,0.17026960174698794
LOUISIANA,2016,6074607000.0,74,161591.64736768746,70.0,4657757.0,2073200.0,335011803322.68964,1304.1914810068452,70039664186.33794,0.32716811600926604,0.08409090909090909,0.11235955056179775,0.03782739489639975,0.17026960174698794,0.04343694821026762
LOUISIANA,2017,12787000.0,103,160124.15337757507,53.0,4657757.0,2073200.0,331969394782.3886,2.745312819024264,66400272482.37772,0.0006886863132726915,0.11704545454545455,0.08507223113964688,0.03748386553967648,0.04343694821026762,0.03780332429956608
LOUISIANA,2018,15529500.0,115,161366.4528392364,0.0,4657757.0,2073200.0,334544930026.3049,3.3341155410211396,66916750778.26098,0.0008363927506036023,0.13068181818181818,0.0,0.03777467854320333,0.03780332429956608,0.054464870910946615
LOUISIANA,2019,87324000.0,113,165931.6495430111,95.0,4657757.0,2073200.0,344009495832.5706,18.748079816100326,68845561198.61414,0.004703123767906821,0.12840909090909092,0.15248796147672553,0.038843356914310526,0.054464870910946615,0.1274402636124057
LOUISIANA,2020,258194000.0,64,175263.67394997587,592.0,4657757.0,2073200.0,363356648833.08997,55.43311941777984,72800426838.618,0.013905894578019027,0.07272727272727272,0.9502407704654896,0.04102791396398192,0.1274402636124057,0.08294803358400987
LOUISIANA,2021,7654000.0,53,179868.30957103564,362.0,4657757.0,2073200.0,372902979402.6711,1.6432802312357644,74584422927.33423,0.00041223156657458205,0.060227272727272727,0.5810593900481541,0.04210582469036695,0.08294803358400987,0.033168742121476295
LOUISIANA,2022,189292000.0,70,187698.893281994,0.0,4657757.0,2073200.0,389137345552.23,40.64016220683045,77922115124.446,0.01019494874575853,0.07954545454545454,0.0,0.04393890571360658,0.033168742121476295,0.02651338370111115
LOUISIANA,2023,76449500.0,46,182359.88587196486,10.0,4657757.0,2073200.0,378068515389.75757,16.41337235927078,75651927838.15152,0.0041174414879596955,0.05227272727272727,0.016051364365971106,0.04268908404928235,0.02651338370111115,0.02034437738046379
LOUISIANA,2025,2827000.0,36,172320.13717580913,0.0,4657757.0,2073200.0,357254108392.88745,0.6069445013984199,71452235185.7775,0.00015225746520856328,0.04090909090909091,0.0,0.040338854041873935,0.02034437738046379,
MAINE,2015,234000.0,13,157497.12111777754,4.0,1362359.0,739072.0,116401712298.75809,0.17176089415491805,23280459462.751617,1.2602846430422289e-05,0.014772727272727272,0.006420545746388443,0.01314333851545229,0.007544642722392155,0.005680715119214099
MAINE,2016,0.0,7,163360.9995996274,0.0,1362359.0,739072.0,120735540696.09581,0.0,24147108140.619164,0.0,0.007954545454545454,0.0,0.013632686761016694,0.005680715119214099,0.00995519978503399
MAINE,2017,0.0,25,170693.64305801003,0.0,1362359.0,739072.0,126154892162.16959,0.0,25230978437.433918,0.0,0.028409090909090908,0.0,0.014244605344052695,0.00995519978503399,0.009792508220664185
MAINE,2018,2875000.0,13,180897.32293201087,14.0,1362359.0,739072.0,133696146254.00714,2.110310131176878,26740666754.80143,0.00015484266447634223,0.014772727272727272,0.02247191011235955,0.015096115630307463,0.009792508220664185,0.008830399667692772
MAINE,2019,0.0,18,189311.64775491285,0.0,1362359.0,739072.0,139914938129.51895,0.0,27982987629.50379,0.0,0.020454545454545454,0.0,0.015798301922612272,0.008830399667692772,0.11197504361153535
MAINE,2020,4000.0,30,205979.45579111166,623.0,1362359.0,739072.0,152233648350.4485,0.00293608366076783,30446731738.389698,2.1543327231491092e-07,0.03409090909090909,1.0,0.01718925206681532,0.11197504361153535,0.00835696789195889
MAINE,2021,1760000.0,9,250589.16846154354,0.0,1362359.0,739072.0,185203437913.2099,1.291876810737845,37041567584.441986,9.479063981856081e-05,0.010227272727272727,0.0,0.020911990301923068,0.00835696789195889,0.012988238790472376
MAINE,2022,150000.0,23,290636.34239938116,3.0,1362359.0,739072.0,214801182849.79544,0.11010313727879362,42960311574.85909,8.07874771180916e-06,0.026136363636363635,0.004815409309791332,0.02425397877711931,0.012988238790472376,0.03304623394075639
MAINE,2023,31378000.0,86,307099.5440579508,32.0,1362359.0,739072.0,226968674225.9978,23.032108276893243,45409423865.59956,0.0016899663046743188,0.09772727272727273,0.051364365971107544,0.025627854254404534,0.03304623394075639,0.009341173732191179
MAINE,2025,2000.0,5,327726.7750167735,0.0,1362359.0,739072.0,242213683065.1968,0.001468041830383915,48442737614.03937,1.0771663615745546e-07,0.005681818181818182,0.0,0.027349223363910262,0.009341173732191179,
MARYLAND,2015,553000.0,36,247906.30991487397,0.0,6177224.0,2530844.0,627412197010.1993,0.08952241330409906,125482715909.23987,2.9783649897536434e-05,0.04090909090909091,0.0,0.0708433813487525,0.029446746046402943,0.03873283831345736
MARYLAND,2016,1130000.0,61,252357.15088451095,20.0,6177224.0,2530844.0,638676581173.1592,0.182930066968593,127735881248.83183,6.0859899428962333e-05,0.06931818181818182,0.03210272873194221,0.07211528372285066,0.03873283831345736,0.03272590313831892
MARYLAND,2017,755000.0,46,259595.07420632115,0.0,6177224.0,2530844.0,656994635984.6227,0.12222318633742277,131399304706.12454,4.0663030149439437e-05,0.05227272727272727,0.0,0.07418364157237897,0.03272590313831892,0.11190521703029582
MARYLAND,2018,977600.0,388,268987.2449848822,4.0,6177224.0,2530844.0,680764755046.5192,0.15825879068008541,136153439887.30383,5.265189175376423e-05,0.4409090909090909,0.006420545746388443,0.07686761172379095,0.11190521703029582,0.0432311297031471
MARYLAND,2019,37000.0,85,278923.8716729136,0.0,6177224.0,2530844.0,705912807080.1633,0.005989745555608798,141182579933.03268,1.992757768912926e-06,0.09659090909090909,0.0,0.07970716927285906,0.0432311297031471,0.0669340033384801
MARYLAND,2020,3351000.0,150,292385.8631570661,48.0,6177224.0,2530844.0,739983007455.8818,0.5424766853201374,147998277025.97635,0.00018047922388181661,0.17045454545454544,0.07704654895666131,0.08355415887450719,0.0669340033384801,0.07688814479156869
MARYLAND,2021,880000.0,211,331658.5984077776,3.0,6177224.0,2530844.0,839376173828.7335,0.1424588132144795,167875674808.2467,4.7395319909280404e-05,0.23977272727272728,0.004815409309791332,0.0947770009269346,0.07688814479156869,0.05139868630291336
MARYLAND,2022,910000.0,90,360720.0166479589,0.0,6177224.0,2530844.0,912926089813.3868,0.14731536366497314,182585672980.67737,4.9011069451642234e-05,0.10227272727272728,0.0,0.10308178806862416,0.05139868630291336,0.03923922584507437
MARYLAND,2023,2055000.0,33,369706.57506404695,0.0,6177224.0,2530844.0,935669667261.3928,0.33267370585881295,187134960958.87857,0.00011067884365178549,0.0375,0.0,0.10564984769204551,0.03923922584507437,0.040035529952081136
MARYLAND,2025,2160000.0,28,392223.83982140734,0.0,6177224.0,2530844.0,992657351668.9698,0.3496716324355406,198532550339.39398,0.00011633396705005189,0.031818181818181815,0.0,0.11208453333874917,0.040035529952081136,
MASSACHUSETTS,2015,306000.0,51,419589.25673932035,10.0,7029917.0,2998537.0,1258153911135.3513,0.04352825218277826,251630935238.2703,1.6480645332090684e-05,0.05795454545454545,0.016051364365971106,0.14206271052224573,0.05582145094231275,0.05194901089527512
MASSACHUSETTS,2016,1105000.0,29,446323.63817835686,0.0,7029917.0,2998537.0,1338317943052.4158,0.15718535510447706,267664141116.28314,5.951344147699414e-05,0.03295454545454545,0.0,0.15111432142591746,0.05194901089527512,0.07128471391461505
MASSACHUSETTS,2017,1860000.0,103,470948.9166327898,0.0,7029917.0,2998537.0,1412157751633.3357,0.2645834936600247,282432480347.26715,0.00010017647162643358,0.11704545454545455,0.0,0.15945184138957855,0.07128471391461505,0.07714365759349061
